iter	Passed	Remaining
1155	757	2519
1156	758	2518
1157	758	2516
1158	758	2515
1159	759	2513
1160	759	2511
1161	760	2510
1162	760	2509
1163	761	2508
1164	762	2510
1165	763	2509
1166	763	2507
1167	764	2507
1168	764	2506
1169	765	2506
1170	766	2504
1171	766	2503
1172	767	2504
1173	768	2503
1174	768	2502
1175	769	2503
1176	770	2502
1177	771	2501
1178	771	2500
1179	771	2499
1180	772	2497
1181	772	2496
1182	773	2494
1183	773	2493
1184	774	2493
1185	775	2492
1186	775	2491
1187	776	2490
1188	776	2489
1189	777	2488
1190	777	2487
1191	778	2488
1192	779	2487
1193	780	2488
1194	781	2489
1195	782	2487
1196	782	2486
1197	783	2486
1198	784	2485
1199	784	2484
1200	785	2483
1201	786	2486
1202	788	2490
1203	789	2490
1204	790	2489
1205	791	2490
1206	792	2489
1207	792	2488
1208	793	2487
1209	793	2486
1210	794	2484
1211	794	2483
1212	795	2483
1213	795	2482
1214	796	2481
1215	797	2483
1216	799	2483
1217	800	2484
1218	800	2482
1219	800	2481
1220	801	2482
1221	802	2480
1222	802	2479
1223	803	2477
1224	803	2476
1225	804	2477
1226	805	2476
1227	806	2475
1228	806	2474
1229	806	2473
1230	807	2472
1231	807	2470
1232	808	2469
1233	808	2468
1234	809	2466
1235	809	2465
1236	809	2463
1237	810	2462
1238	811	2462
1239	811	2462
1240	812	2461
1241	812	2459
1242	813	2458
1243	814	2458
1244	814	2457
1245	815	2455
1246	815	2454
1247	815	2453
1248	816	2451
1249	816	2450
1250	817	2450
1251	818	2449
1252	818	2448
1253	819	2448
1254	820	2447
1255	820	2446
1256	821	2447
1257	822	2446
1258	822	2445
1259	823	2443
1260	823	2442
1261	824	2441
1262	824	2440
1263	825	2439
1264	825	2438
1265	827	2439
1266	827	2438
1267	828	2437
1268	828	2436
1269	829	2434
1270	829	2433
1271	829	2432
1272	830	2431
1273	831	2430
1274	831	2429
1275	831	2428
1276	832	2426
1277	832	2425
1278	833	2424
1279	833	2422
1280	834	2421
1281	834	2420
1282	835	2419
1283	835	2418
1284	836	2419
1285	837	2418
1286	838	2419
1287	839	2418
1288	839	2417
1289	840	2415
1290	840	2414
1291	841	2413
1292	841	2412
1293	841	2411
1294	842	2409
1295	842	2408
1296	843	2407
1297	844	2408
1298	844	2406
1299	845	2406
1300	846	2405
1301	846	2404
1302	846	2402
1303	847	2401
1304	847	2400
1305	848	2401
1306	849	2400
1307	849	2398
1308	850	2397
1309	850	2396
1310	851	2395
1311	852	2395
1312	852	2393
1313	852	2392
1314	853	2391
1315	853	2390
1316	854	2389
1317	854	2388
1318	855	2386
1319	855	2385
1320	856	2384
1321	856	2383
1322	857	2382
1323	857	2380
1324	858	2380
1325	858	2378
1326	858	2377
1327	859	2376
1328	859	2375
1329	860	2374
1330	860	2373
1331	861	2372
1332	861	2370
1333	862	2369
1334	862	2368
1335	863	2368
1336	863	2367
1337	864	2366
1338	865	2366
1339	865	2364
1340	866	2363
1341	867	2363
1342	868	2365
1343	869	2364
1344	869	2364
1345	870	2362
1346	870	2361
1347	871	2360
1348	872	2360
1349	872	2359
1350	873	2358
1351	873	2357
1352	874	2356
1353	874	2355
1354	875	2353
1355	875	2352
1356	876	2351
1357	876	2350
1358	876	2348
1359	877	2348
1360	877	2347
1361	878	2345
1362	878	2344
1363	879	2343
1364	880	2343
1365	880	2342
1366	881	2341
1367	881	2340
1368	882	2340
1369	882	2339
1370	883	2338
1371	883	2337
1372	884	2336
1373	885	2335
1374	885	2334
1375	886	2333
1376	886	2332
1377	887	2331
1378	887	2330
1379	888	2329
1380	889	2330
1381	889	2328
1382	889	2327
1383	890	2326
1384	891	2325
1385	891	2324
1386	891	2323
1387	892	2321
1388	892	2321
1389	893	2319
1390	893	2319
1391	894	2318
1392	894	2317
1393	895	2316
1394	896	2315
1395	896	2314
1396	896	2313
1397	897	2312
1398	898	2311
1399	898	2311
1400	899	2310
1401	899	2309
1402	900	2308
1403	901	2307
1404	901	2307
1405	902	2307
1406	903	2306
1407	903	2305
1408	904	2305
1409	905	2304
1410	905	2303
1411	906	2304
1412	907	2303
1413	907	2302
1414	908	2301
1415	908	2300
1416	909	2299
1417	910	2298
1418	910	2298
1419	911	2297
1420	911	2295
1421	911	2294
1422	912	2293
1423	912	2292
1424	913	2291
1425	914	2291
1426	914	2290
1427	915	2289
1428	915	2288
1429	916	2287
1430	917	2287
1431	918	2287
1432	918	2287
1433	919	2285
1434	919	2285
1435	920	2284
1436	920	2283
1437	921	2282
1438	921	2281
1439	922	2280
1440	922	2278
1441	923	2278
1442	923	2277
1443	924	2275
1444	924	2275
1445	925	2273
1446	925	2273
1447	926	2272
1448	926	2271
1449	927	2270
1450	927	2269
1451	929	2270
1452	929	2269
1453	930	2269
1454	931	2268
1455	931	2268
1456	932	2267
1457	932	2266
1458	933	2265
1459	933	2264
1460	934	2263
1461	934	2262
1462	935	2261
1463	935	2260
1464	936	2259
1465	937	2260
1466	938	2259
1467	938	2258
1468	938	2256
1469	939	2255
1470	939	2254
1471	940	2253
1472	940	2252
1473	941	2251
1474	942	2252
1475	943	2251
1476	943	2251
1477	944	2250
1478	944	2249
1479	945	2248
1480	945	2247
1481	946	2246
1482	947	2247
1483	948	2246
1484	949	2246
1485	949	2246
1486	950	2244
1487	950	2243
1488	951	2242
1489	951	2241
1490	952	2240
1491	952	2239
1492	953	2238
1493	953	2237
1494	953	2236
1495	954	2235
